code,entry_date,exit_date,selection_periods,entry_rank,exit_rank
000573,2025-08-20,2025-09-02,2025-08-20,14,14
000581,2025-06-11,2025-06-24,2025-06-11,31,31
000582,2025-07-23,2025-09-02,"2025-07-23,2025-08-06,2025-08-20",8,10
000589,2024-08-08,2024-08-21,2024-08-08,15,15
000591,2026-08-18,2026-08-31,2026-08-18,20,20
000593,2025-02-26,2025-03-11,2025-02-26,15,15
000597,2025-03-12,2025-03-25,2025-03-12,34,34
000597,2025-10-23,2025-11-05,2025-10-23,26,26
000598,2024-11-25,2024-12-20,"2024-11-25,2024-12-09",16,34
000600,2024-08-08,2024-10-11,"2024-08-08,2024-08-22,2024-09-05,2024-09-23",26,46
000600,2026-09-15,2026-09-18,2026-09-15,32,32
000601,2025-10-09,2025-10-22,2025-10-09,3,3
000605,2025-02-26,2025-03-11,2025-02-26,5,5
000607,2025-05-13,2025-05-26,2025-05-13,24,24
000607,2025-10-23,2025-11-05,2025-10-23,18,18
000607,2026-05-11,2026-05-22,2026-05-11,41,41
000617,2025-01-07,2025-02-11,"2025-01-07,2025-01-21",1,17
000617,2026-06-23,2026-07-20,"2026-06-23,2026-07-07",11,6
000620,2025-04-10,2025-04-23,2025-04-10,27,27
000626,2025-03-12,2025-03-25,2025-03-12,16,16
000628,2025-04-10,2025-04-23,2025-04-10,28,28
000635,2026-05-25,2026-06-05,2026-05-25,27,27
000655,2026-05-25,2026-06-05,2026-05-25,20,20
000656,2025-08-20,2025-09-02,2025-08-20,43,43
000657,2024-08-08,2024-09-04,"2024-08-08,2024-08-22",11,8
000669,2025-04-10,2025-04-23,2025-04-10,1,1
000670,2025-04-10,2025-04-23,2025-04-10,39,39
000676,2026-05-11,2026-05-22,2026-05-11,33,33
000678,2025-10-23,2025-11-05,2025-10-23,44,44
000679,2026-02-02,2026-03-09,"2026-02-02,2026-02-24",34,32
000682,2024-12-23,2025-01-20,"2024-12-23,2025-01-07",4,7
000682,2026-09-15,2026-09-18,2026-09-15,12,12
